Common Name,Species,Wing Length,Weight
House Wren,Troglodytes aedon,51,11
Golden-crowned Kinglet,Regulus satrapa,56,5.7
Swamp Sparrow,Melospiza georgiana,62,17
Chestnut-sided Warbler,Setophaga pensylvanica,62,11.1
Blue-headed Vireo,Vireo solitarius,75,16.5
White-crowned Sparrow,Zonotrichia leucophrys,75,26.5
Gray Catbird,Dumetella carolinensis,88,39
Cedar Waxwing,Bombycilla cedrorum,95,25
Rose-breasted Grosbeak,Pheucticus ludovicianus,101,40
Florida Scrub-Jay,Aphelocoma coerulescens,115,78
Barn Swallow,Hirundo rustica,118,17
Eastern Meadowlark,Sturnella magna,122.4,145
Blue Jay,Cyanocitta cristata,134,89
Purple Martin,Progne subis,142,43
Common Grackle,Quiscalus quiscula,144,122
American Crow,Corvus brachyrhynchos,321,552.5